src_id,src_numeric_id,name_en,name_ar,domain,institution,category,source_type,source_class,sector_category,sub_sector_tag,geographic_coverage,time_coverage_start,time_coverage_end,access_method,access_method_norm,auth_required,data_format,update_frequency,update_frequency_norm,cadence,cadence_norm,cadence_lag_tolerance,tier,reliability_score,confidence_grade,license,partnership_required,partnership_action_email,routing_function,dashboard_modules_linked,integration_targets,embedded_indicators,data_fields,transformation_notes,granularity_caveats,fallback_plan,admin_alert_trigger_condition,ingestion_method,ingestion_owner_agent,multilingual_required,glossary_terms_required,evidence_pack_flag,yeto_usage,yeto_module,coverage,typical_lag_days,typical_lag_text,notes,tags,status,active,url,url_raw,origin,ai_coach_prompt,auth_required_raw,access_method_norm_raw,update_frequency_norm_raw,cadence_norm_raw,cadence_lag_tolerance_raw,url_raw_original,source_class_label
SRC-134,134,UN Commodity Trade Statistics (UNSD) for Mirror Trade,,comtradeplus.un.org,,Mirror trade & FX proxies,,DATA_NUMERIC,Mirror trade & FX proxies,,Global,2010,2026,Manual/Web,MANUAL,No,Unknown,Annual,ANNUAL,ANNUAL,ANNUAL,240.0,T1,C,C,Unknown/varies,False,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,Import/export of arms category; can be used to detect arms shipments (if any recorded).,Mirror trade & FX proxies,PENDING_REVIEW,True,https://comtradeplus.un.org/,Comtrade API (as above),extended,,Unknown,MANUAL+WEB,ANNUAL,ANNUAL,240 days,https://comtradeplus.un.org/,Documents/Analysis
SRC-135,135,Association of Yemeni Banks (AYB),,yemen-yba.com,,Banking sector info,,DATA_NUMERIC,Banking sector info,,National,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Ad hoc,IRREGULAR,IRREGULAR,IRREGULAR,,,C,C,Unknown/varies,True,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,"Provide lists of licensed banks, branch openings, sector concerns; documentation may be found via local press; ingest into stakeholder profiles.",Banking sector info,NEEDS_KEY,True,https://yemen-yba.com/,"Official statements, annual reports (if any)",extended,,Unknown,MANUAL+WEB,IRREGULAR,IRREGULAR,per-source,https://yemen-yba.com/,Documents/Analysis
SRC-136,136,Yemen Microfinance Network (YMN) Quarterly Bulletin,,yemennetwork.org,,Microfinance,,DATA_NUMERIC,Microfinance,,National,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Quarterly/Annual,QUARTERLY,QUARTERLY,QUARTERLY,120.0,T1,C,C,Unknown/varies,True,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,"Statistics on active borrowers, portfolio outstanding, portfolio at risk, by MFI; if partners share dataset; treat as sensitive; tag regime.",Microfinance,NEEDS_KEY,True,https://yemennetwork.org/,Partner data (CSV/PDF),extended,,Unknown,MANUAL+WEB,QUARTERLY,QUARTERLY,120 days,https://yemennetwork.org/,Documents/Analysis
SRC-137,137,Al Kuraimi Islamic Bank Annual Reports,,n,,Banking,,DATA_NUMERIC,Banking,,National (private),2010,2026,Manual/Web,MANUAL,Yes,Unknown,Annual,ANNUAL,ANNUAL,ANNUAL,240.0,,C,C,Unknown/varies,False,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,"Provide financial statements (assets, deposits, profit) and branch network; parse for insights; may contain credit risk indicators.",Banking,PENDING_REVIEW,True,,Company website,extended,,Unknown,MANUAL+WEB,ANNUAL,ANNUAL,240 days,N/A (offline/manual),Documents/Analysis
SRC-138,138,Yemen Corporate Balance Sheets (Top Enterprises),,n,,Private sector,,DATA_NUMERIC,Private sector,,National,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Unknown,IRREGULAR,IRREGULAR,IRREGULAR,,,C,C,Unknown/varies,True,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,"If accessible via partners; includes financial data of major companies (oil, telecoms, manufacturing); sensitive; store metadata with caution.",Private sector,NEEDS_KEY,True,,Yemen Company Registry (leaked),extended,,Unknown,MANUAL+WEB,UNKNOWN,IRREGULAR,per-source,N/A (offline/manual),Documents/Analysis
SRC-139,139,Money Changers (Licensed and Unlicensed) Registry,,n,,Exchangers,,DATA_NUMERIC,Exchangers,,National,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Occasional,IRREGULAR,IRREGULAR,IRREGULAR,,,C,C,Unknown/varies,True,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,Lists of authorised money exchangers; glean from circulars and partner organisations; necessary for stakeholder pages.,Exchangers,NEEDS_KEY,True,,Ministry of Industry & Trade or CBY lists,extended,,Unknown,MANUAL+WEB,OCCASIONAL,IRREGULAR,per-source,N/A (offline/manual),Documents/Analysis
SRC-140,140,G7/G20 Aid Support Announcers,,n,,Aid commitments,,DATA_NUMERIC,Aid commitments,,Global,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Ad hoc,IRREGULAR,IRREGULAR,IRREGULAR,,,C,C,Unknown/varies,False,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,"Government and multilateral pledges for Yemen; capture announcements (e.g. Saudi Arabia, UAE, USA).",Aid commitments,PENDING_REVIEW,True,,Press releases and communiqués,extended,,Unknown,MANUAL+WEB,IRREGULAR,IRREGULAR,per-source,N/A (offline/manual),Documents/Analysis
SRC-141,141,Yemen Petroleum Company Fuel Subsidy Statements,,yogc-yemen.net,,Subsidy policy,,DATA_NUMERIC,Subsidy policy,,National,2010,2026,Manual/Web,MANUAL,No,Unknown,Irregular,IRREGULAR,IRREGULAR,IRREGULAR,,T1,C,C,Unknown/varies,False,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,Announcements on subsidy adjustments; feed into subsidy tracker.,Subsidy policy,PENDING_REVIEW,True,https://yogc-yemen.net/ypc.aspx,Social media/news,extended,,Unknown,MANUAL+WEB,IRREGULAR,IRREGULAR,per-source,https://yogc-yemen.net/ypc.aspx,Documents/Analysis
SRC-142,142,Yemen Customs Authority (if available),,n,Yemen Customs,Customs revenues,,DATA_NUMERIC,Customs revenues,,National,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Irregular,IRREGULAR,IRREGULAR,IRREGULAR,,T1,C,C,Unknown/varies,False,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,May contain customs collection figures; scarce; treat as low confidence.,Customs revenues,PENDING_REVIEW,True,,Press releases or leaked budgets,extended,,Unknown,MANUAL+WEB,IRREGULAR,IRREGULAR,per-source,N/A (offline/manual),Documents/Analysis
SRC-143,143,Yemen Legislation Portal (Aden & Sana’a),,n,,Laws & decrees,,DATA_NUMERIC,Laws & decrees,,National,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Ad hoc,IRREGULAR,IRREGULAR,IRREGULAR,,,C,C,Unknown/varies,False,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,"Collects public finance laws, budgets, tax decrees; vital for legal library.",Laws & decrees,PENDING_REVIEW,True,,"Official gazettes, news sources",extended,,Unknown,MANUAL+WEB,IRREGULAR,IRREGULAR,per-source,N/A (offline/manual),Documents/Analysis
SRC-144,144,Port of Aden & Port of Mukalla Throughput Reports,,n,,Port volumes,,DATA_NUMERIC,Port volumes,,National,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Monthly/Quarterly,MONTHLY,MONTHLY,MONTHLY,60.0,T3,C,C,Unknown/varies,False,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,Data on container and cargo volumes handled by southern ports; glean from port authority websites or local media.,Port volumes,PENDING_REVIEW,True,,Port authorities or news releases,extended,,Unknown,MANUAL+WEB,MONTHLY,MONTHLY,60 days,N/A (offline/manual),Documents/Analysis
SRC-145,145,Dubai Ports World (DP World) Trade Reports,,www.dpworld.com,,Transhipment & logistics,,DATA_NUMERIC,Transhipment & logistics,,Commercial/Regional,2010,2026,Manual/Web,MANUAL,No,Unknown,Annual,ANNUAL,ANNUAL,ANNUAL,240.0,,C,C,Unknown/varies,False,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,DP World manages Aden port; reports may contain Yemen trade throughput; treat as secondary.,Transhipment & logistics,PENDING_REVIEW,True,https://www.dpworld.com/,Company annual reports,extended,,Unknown,MANUAL+WEB,ANNUAL,ANNUAL,240 days,https://www.dpworld.com/,Documents/Analysis
SRC-146,146,Yemen Import & Export Licensing Data,,n,,Trade regulation,,DATA_NUMERIC,Trade regulation,,National,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Ad hoc,IRREGULAR,IRREGULAR,IRREGULAR,,,C,C,Unknown/varies,False,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,Document lists of authorised importers/exporters; may help track commodity flows; scarce.,Trade regulation,PENDING_REVIEW,True,,"Ministry of Industry & Trade, press releases",extended,,Unknown,MANUAL+WEB,IRREGULAR,IRREGULAR,per-source,N/A (offline/manual),Documents/Analysis
SRC-147,147,SAECA (Yemen Supreme Authority for Economic & Corporate Affairs),,n,,Government trade oversight,,DATA_NUMERIC,Government trade oversight,,National,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Unknown,IRREGULAR,IRREGULAR,IRREGULAR,,,C,C,Unknown/varies,False,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,"If revived, may publish commercial regulations; currently dormant.  Placeholder for future.",Government trade oversight,PENDING_REVIEW,True,,Not active (possible),extended,,Unknown,MANUAL+WEB,UNKNOWN,IRREGULAR,per-source,N/A (offline/manual),Documents/Analysis
SRC-148,148,Yemen Customs Tariff Schedule,,n,Yemen Customs,Trade policy,,DATA_NUMERIC,Trade policy,,National,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Ad hoc,IRREGULAR,IRREGULAR,IRREGULAR,,T1,C,C,Unknown/varies,False,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,Contains lists of applied tariffs by HS code; needed for trade policy analysis; may be outdated.,Trade policy,PENDING_REVIEW,True,,Government gazette,extended,,Unknown,MANUAL+WEB,IRREGULAR,IRREGULAR,per-source,N/A (offline/manual),Documents/Analysis
SRC-149,149,Yemen Ministry of Oil & Minerals / Safer Exploration & Production Company,,n,Government of Yemen,Oil & gas production,,DATA_NUMERIC,Oil & gas production,,National,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Ad hoc,IRREGULAR,IRREGULAR,IRREGULAR,,T1,C,C,Unknown/varies,False,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,"Data on oil output, refinery operations, revenue sharing between Aden and Sana’a; highly politicised; glean via news.",Oil & gas production,PENDING_REVIEW,True,,Press releases and statements,extended,,Unknown,MANUAL+WEB,IRREGULAR,IRREGULAR,per-source,N/A (offline/manual),Documents/Analysis
SRC-150,150,Yemen Diesel & LPG Demand Reports (if any),,n,,Fuel consumption,,DATA_NUMERIC,Fuel consumption,,National,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Occasional,IRREGULAR,IRREGULAR,IRREGULAR,,T1,C,C,Unknown/varies,False,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,Provide estimates of fuel demand; cross‑check with WFP fuel price bulletins.,Fuel consumption,PENDING_REVIEW,True,,Logistics cluster or Ministry of Oil,extended,,Unknown,MANUAL+WEB,OCCASIONAL,IRREGULAR,per-source,N/A (offline/manual),Documents/Analysis
SRC-151,151,Yemen Gas Company (YGC) Circulars,,n,,Gas supply,,DATA_NUMERIC,Gas supply,,National,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Irregular,IRREGULAR,IRREGULAR,IRREGULAR,,,C,C,Unknown/varies,False,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,Announces LPG cylinder prices and distribution schedules; important for cost of living analysis.,Gas supply,PENDING_REVIEW,True,,Official circulars/social media,extended,,Unknown,MANUAL+WEB,IRREGULAR,IRREGULAR,per-source,N/A (offline/manual),Documents/Analysis
SRC-152,152,Yemen Ministry of Social Affairs and Labour (MoSAL),,n,Government of Yemen,Employment policies,,DATA_NUMERIC,Employment policies,,National,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Ad hoc,IRREGULAR,IRREGULAR,IRREGULAR,,T1,C,C,Unknown/varies,False,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,"May provide information on minimum wage, labour regulations; seldom published; glean via local media.",Employment policies,PENDING_REVIEW,True,,Circulars and speeches,extended,,Unknown,MANUAL+WEB,IRREGULAR,IRREGULAR,per-source,N/A (offline/manual),Documents/Analysis
SRC-153,153,"Private sector surveys (e.g., Tadhamon Bank SME survey)",,n,,Employment in SMEs,,DATA_NUMERIC,Employment in SMEs,,National,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Ad hoc,IRREGULAR,IRREGULAR,IRREGULAR,,,C,C,Unknown/varies,True,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,"Surveys of SMEs on workforce, wages, skills; often part of project evaluations; need partner access.",Employment in SMEs,NEEDS_KEY,True,,SME programmes,extended,,Unknown,MANUAL+WEB,IRREGULAR,IRREGULAR,per-source,N/A (offline/manual),Documents/Analysis
SRC-154,154,FAO FAOSTAT Agricultural Commodities,,n,,Agriculture,,DATA_NUMERIC,Agriculture,,Global,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Annual,ANNUAL,ANNUAL,ANNUAL,240.0,T1,C,C,Unknown/varies,False,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,Pre‑2013 official data; update for proxies if available.,Agriculture,PENDING_REVIEW,True,,Already included; emphasise cereals & livestock series,extended,,Unknown,MANUAL+WEB,ANNUAL,ANNUAL,240 days,N/A (offline/manual),Documents/Analysis
SRC-155,155,Yemen Ministry of Agriculture & Irrigation,,n,Government of Yemen,Agricultural production,,DATA_NUMERIC,Agricultural production,,National,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Irregular,IRREGULAR,IRREGULAR,IRREGULAR,,T1,C,C,Unknown/varies,False,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,"Provide production volumes by crop, area cultivated; mostly outdated; treat as historical baseline.",Agricultural production,PENDING_REVIEW,True,,Reports (pre‑2014) and bulletins,extended,,Unknown,MANUAL+WEB,IRREGULAR,IRREGULAR,per-source,N/A (offline/manual),Documents/Analysis
SRC-156,156,Crops and Livestock Integrated Survey (if revived),,n,,Agriculture & livelihoods,,DATA_NUMERIC,Agriculture & livelihoods,,National,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Occasional,IRREGULAR,IRREGULAR,IRREGULAR,,,C,C,Unknown/varies,False,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,Last survey pre‑2014; should be added if new rounds conducted post‑conflict; treat as potential.,Agriculture & livelihoods,PENDING_REVIEW,True,,Household survey via CSO or FAO,extended,,Unknown,MANUAL+WEB,OCCASIONAL,IRREGULAR,per-source,N/A (offline/manual),Documents/Analysis
SRC-157,157,UNHCR Population Statistics,,n,,Displacement & refugees,,DATA_NUMERIC,Displacement & refugees,,Global,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Annual,ANNUAL,ANNUAL,ANNUAL,240.0,T1,C,C,Unknown/varies,False,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,Provide number of Yemeni refugees abroad and refugees in Yemen.,Displacement & refugees,PENDING_REVIEW,True,,Already included; emphasise cross‑border flows,extended,,Unknown,MANUAL+WEB,ANNUAL,ANNUAL,240 days,N/A (offline/manual),Documents/Analysis
SRC-158,158,International Organization for Migration (IOM) Displacement Tracking Matrix (DTM),,n,IOM,IDP & returnees,,DATA_NUMERIC,IDP & returnees,,Global,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Quarterly/Occasional,QUARTERLY,QUARTERLY,QUARTERLY,120.0,T1,C,C,Unknown/varies,False,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,"Provide counts of internally displaced persons, returnees, and migrant arrivals by governorate.",IDP & returnees,PENDING_REVIEW,True,,Already included; emphasise subnational details,extended,,Unknown,MANUAL+WEB,QUARTERLY,QUARTERLY,120 days,N/A (offline/manual),Documents/Analysis
SRC-159,159,Janes Terrorism & Insurgency Centre (JTIC),,n,,Conflict & security,,DATA_NUMERIC,Conflict & security,,Commercial,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Daily,DAILY,DAILY,DAILY,2.0,,C,C,Unknown/varies,True,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,Detailed dataset on insurgent and terrorist attacks; expensive; mark as *Needs Key*.,Conflict & security,NEEDS_KEY,True,,Subscription,extended,,Unknown,MANUAL+WEB,DAILY,DAILY,48 hours,N/A (offline/manual),Documents/Analysis
