product_id,src_id,product_name,product_type,sectors,geographic_coverage,time_start,time_end,update_frequency,granularity,indicators_keywords,notes
PR-SRC-136-01,SRC-136,TBD,DATA_NUMERIC,Microfinance,National,2010,2026,QUARTERLY,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-137-01,SRC-137,TBD,DATA_NUMERIC,Banking,National (private),2010,2026,ANNUAL,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-138-01,SRC-138,TBD,DATA_NUMERIC,Private sector,National,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-139-01,SRC-139,TBD,DATA_NUMERIC,Exchangers,National,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-140-01,SRC-140,TBD,DATA_NUMERIC,Aid commitments,Global,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-141-01,SRC-141,TBD,DATA_NUMERIC,Subsidy policy,National,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-142-01,SRC-142,TBD,DATA_NUMERIC,Customs revenues,National,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-143-01,SRC-143,TBD,DATA_NUMERIC,Laws & decrees,National,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-144-01,SRC-144,TBD,DATA_NUMERIC,Port volumes,National,2010,2026,MONTHLY,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-145-01,SRC-145,TBD,DATA_NUMERIC,Transhipment & logistics,Commercial/Regional,2010,2026,ANNUAL,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-146-01,SRC-146,TBD,DATA_NUMERIC,Trade regulation,National,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-147-01,SRC-147,TBD,DATA_NUMERIC,Government trade oversight,National,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-148-01,SRC-148,TBD,DATA_NUMERIC,Trade policy,National,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-149-01,SRC-149,TBD,DATA_NUMERIC,Oil & gas production,National,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-150-01,SRC-150,TBD,DATA_NUMERIC,Fuel consumption,National,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-151-01,SRC-151,TBD,DATA_NUMERIC,Gas supply,National,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-152-01,SRC-152,TBD,DATA_NUMERIC,Employment policies,National,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-153-01,SRC-153,TBD,DATA_NUMERIC,Employment in SMEs,National,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-154-01,SRC-154,TBD,DATA_NUMERIC,Agriculture,Global,2010,2026,ANNUAL,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-155-01,SRC-155,TBD,DATA_NUMERIC,Agricultural production,National,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-156-01,SRC-156,TBD,DATA_NUMERIC,Agriculture & livelihoods,National,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-157-01,SRC-157,TBD,DATA_NUMERIC,Displacement & refugees,Global,2010,2026,ANNUAL,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-158-01,SRC-158,TBD,DATA_NUMERIC,IDP & returnees,Global,2010,2026,QUARTERLY,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-159-01,SRC-159,TBD,DATA_NUMERIC,Conflict & security,Commercial,2010,2026,DAILY,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-160-01,SRC-160,TBD,DATA_NUMERIC,Arms trade via trade data,Global,2010,2026,ANNUAL,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-161-01,SRC-161,TBD,SANCTIONS_LIST,Sanctions,Global,2010,2026,REALTIME,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-162-01,SRC-162,TBD,SANCTIONS_LIST,Sanctions,Global,2010,2026,REALTIME,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-163-01,SRC-163,TBD,SANCTIONS_LIST,Sanctions,Global,2010,2026,REALTIME,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-164-01,SRC-164,TBD,DOC_NARRATIVE,Conflict reports,National,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-165-01,SRC-165,TBD,DATA_NUMERIC,Conflict events,NGO,2010,2026,MONTHLY,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-166-01,SRC-166,TBD,DATA_NUMERIC,Connectivity,National,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-167-01,SRC-167,TBD,DATA_NUMERIC,Energy infrastructure,National,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-168-01,SRC-168,TBD,DATA_NUMERIC,Cross‑border investment,Regional,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-169-01,SRC-169,TBD,DATA_NUMERIC,Export promotion,National,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-170-01,SRC-170,TBD,DOC_NARRATIVE,Research,NGO,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-171-01,SRC-171,TBD,DATA_NUMERIC,Country analysis,Commercial,2010,2026,MONTHLY,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-183-01,SRC-183,TBD,DATA_NUMERIC,Trade & Development,Global,2010,2026,ANNUAL,"National, annual; gaps due to conflict; proxies used if missing; flagged with lower confidence",TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-184-01,SRC-184,TBD,DATA_NUMERIC,Agriculture/Food,Global,2010,2026,MONTHLY,National totals; no governorate-level production data; significant data gaps post‑2015; proxies used and missing values flagged,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-185-01,SRC-185,TBD,DOC_PDF,Development & Humanitarian Analysis,Global/UN,2010,2026,MONTHLY,Some reports include subnational data (needs by governorate); captured by YETO; data may be modelled or inconsistent; flagged with confidence rating and methodology notes,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-186-01,SRC-186,TBD,DATA_NUMERIC,Market Prices & Food Security,Global (Yemen),2010,2026,WEEKLY,Subnational – data by region/market; YETO labels regime control (GoY vs DFA); no official CPI post‑2015; WFP price-based inflation is proxy; volatile; missing areas noted,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-187-01,SRC-187,TBD,DOC_PDF,Market Prices,National/Partner,2010,2026,MONTHLY,Regional (north vs south and city‑level); official price may not reflect availability; multiple prices recorded (official and market); context noted; manual updates recommended when data scarce,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-188-01,SRC-188,TBD,SANCTIONS_LIST,Conflict – Air War,NGO,2010,2026,MONTHLY,Monthly by broad region; covers only airstrikes; complementary to ACLED; flagged as specific context,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-189-01,SRC-189,TBD,DATA_NUMERIC,Monetary & Financial Sector,National,2010,2026,WEEKLY,National; effectively two monetary jurisdictions; YETO displays dual values; data quality low; proxies used; missing data flagged; contradictory series shown side-by-side,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-190-01,SRC-190,TBD,DOC_PDF,Public Finance & Economic Planning,National,2010,2026,ANNUAL,National; breakdown by sector if available; no unified budget after 2015; data politicized; off‑budget items (e.g. military aid) excluded; data rated low confidence; side‑by‑side comparison of GoY vs DFA budgets,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-191-01,SRC-191,TBD,DATA_NUMERIC,Development Projects (National),National,2010,2026,ANNUAL,Subnational – data by district/village; funding sources must be merged to avoid double counting; security conditions may stall projects; missing details flagged,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-192-01,SRC-192,TBD,DATA_NUMERIC,Financial Inclusion,National NGO,2010,2026,QUARTERLY,National; governorate-level if provided; conflict impacts MFIs; data may be outdated; flagged with caveats; north vs south splits after 2015,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-193-01,SRC-193,TBD,DOC_PDF,Banking Sector,National NGO,2010,2026,IRREGULAR,Not a data source; used for qualitative context and stakeholder engagement,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-194-01,SRC-194,TBD,DOC_PDF,Private Sector Data,National,2010,2026,IRREGULAR,"Data is anecdotal, not systematic; Data Gap likely; flagged as such",TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-195-01,SRC-195,TBD,DATA_NUMERIC,Proxy Indicators,Global,2010,2026,MONTHLY,Granularity ~0.5 km aggregated; proxies require interpretation; anomalies from fires or flaring; not direct GDP measure; flagged as experimental indicator,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-196-01,SRC-196,TBD,DOC_NARRATIVE,Research/Think‑Tank,International NGO,2010,2026,IRREGULAR,Narrative analysis; not structured data; used for context not metrics,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-197-01,SRC-197,TBD,DOC_NARRATIVE,Research/Think‑Tank,International collaboration,2010,2026,IRREGULAR,Narrative analysis; not systematic data; used for context and definitions,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-203-01,SRC-203,TBD,DATA_NUMERIC,,Yemen,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-204-01,SRC-204,TBD,DATA_NUMERIC,,Yemen,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-205-01,SRC-205,TBD,DATA_NUMERIC,,Yemen,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-206-01,SRC-206,TBD,DATA_NUMERIC,,Yemen,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-207-01,SRC-207,TBD,DATA_NUMERIC,,Yemen,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-208-01,SRC-208,TBD,DATA_NUMERIC,,Yemen,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-209-01,SRC-209,TBD,DATA_NUMERIC,,Yemen,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-210-01,SRC-210,TBD,DATA_NUMERIC,,Yemen,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-211-01,SRC-211,TBD,DATA_NUMERIC,,Yemen,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-212-01,SRC-212,TBD,DATA_NUMERIC,,Yemen,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-213-01,SRC-213,TBD,DATA_NUMERIC,,Yemen,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-214-01,SRC-214,TBD,DATA_NUMERIC,,Yemen,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-215-01,SRC-215,TBD,DATA_NUMERIC,,Yemen,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-216-01,SRC-216,TBD,DATA_NUMERIC,,Yemen,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-217-01,SRC-217,TBD,DATA_NUMERIC,,Yemen,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-218-01,SRC-218,TBD,DATA_NUMERIC,,Yemen,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-219-01,SRC-219,TBD,DATA_NUMERIC,,Yemen,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-220-01,SRC-220,TBD,DATA_NUMERIC,,Yemen,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-221-01,SRC-221,TBD,DATA_NUMERIC,,Yemen,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-222-01,SRC-222,TBD,DATA_NUMERIC,,Yemen,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-223-01,SRC-223,TBD,DATA_NUMERIC,,Yemen,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-224-01,SRC-224,TBD,DATA_NUMERIC,,Yemen,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-023-01,SRC-023,TBD,DATA_NUMERIC,Official FX auctions,National,2010,2026,WEEKLY,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-070-01,SRC-070,TBD,DATA_NUMERIC,Aid & infrastructure,Global,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-114-01,SRC-114,TBD,NEWS_MEDIA,Media,Regional,2010,2026,DAILY,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-118-01,SRC-118,TBD,DATA_NUMERIC,Environment & health,Global,2010,2026,DAILY,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-061-01,SRC-061,TBD,DATA_NUMERIC,Aid & projects,Global,2010,2026,ANNUAL,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-006-01,SRC-006,TBD,DATA_NUMERIC,Macro & Monetary,Regional (MENA),2010,2026,QUARTERLY,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-180-01,SRC-180,TBD,SANCTIONS_LIST,Conflict Events,Global NGO,2010,2026,WEEKLY,Highly granular (village-level events); fatalities are estimates; ACLED not official casualty count; sensitive data; display as overlay optional; fallback to UCDP or GDELT if ACLED not available,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-176-01,SRC-176,TBD,DATA_NUMERIC,Humanitarian Aid Flows,Global,2010,2026,DAILY,Country-level flows; subnational earmarking not well captured; double-counting possible; cross-checked with IATI; duplicates flagged,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-175-01,SRC-175,TBD,DATA_NUMERIC,Socio-economic (Labor),Global,2010,2026,ANNUAL,"National, annual; no subnational labor data; post-2015 data are estimates with lower confidence; YETO notes discrepancies between sources",TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-178-01,SRC-178,TBD,NEWS_MEDIA,Humanitarian Information (Media/Reports),Global (Yemen filter),2010,2026,DAILY,Narrative info; some subnational details in text; PDF/scan may require OCR; flagged for manual processing if extraction fails,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-008-01,SRC-008,TBD,DATA_NUMERIC,Macro & Market,Global,2010,2026,DAILY,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-179-01,SRC-179,TBD,DATA_NUMERIC,Humanitarian – Population/Movement,Global,2010,2026,QUARTERLY,UNHCR national; IOM subnational; data collection challenging in conflict zones; figures are estimates; IDP counts vary across sources and may require cross-checking,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-016-01,SRC-016,TBD,DATA_NUMERIC,Food prices,Global,2010,2026,MONTHLY,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-002-01,SRC-002,TBD,DATA_NUMERIC,Debt,Global,2010,2026,ANNUAL,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-001-01,SRC-001,TBD,DATA_NUMERIC,Poverty & Distribution,Global,2010,2026,ANNUAL,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-172-01,SRC-172,TBD,DATA_NUMERIC,Macroeconomic (incl. governance proxies),Global,2010,2026,MONTHLY,National-level aggregates; annual/quarterly/monthly series; no subnational data; gaps during conflict years or modelled estimates; alternative sources used when missing; gaps flagged as “Not available”,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-097-01,SRC-097,TBD,DATA_NUMERIC,Infrastructure,Global,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-062-01,SRC-062,TBD,DATA_NUMERIC,Development projects,Global,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-079-01,SRC-079,TBD,DATA_NUMERIC,Global food market,Global,2010,2026,MONTHLY,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-080-01,SRC-080,TBD,DATA_NUMERIC,Commodity balances,Global,2010,2026,MONTHLY,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-031-01,SRC-031,TBD,DATA_NUMERIC,Inclusion,Regional,2010,2026,ANNUAL,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-089-01,SRC-089,TBD,DATA_NUMERIC,Arms trade & embargo violations,Global,2010,2026,ANNUAL,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-051-01,SRC-051,TBD,DATA_NUMERIC,Oil market,Global/Regional,2010,2026,ANNUAL,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-093-01,SRC-093,TBD,DATA_NUMERIC,Political economy,Academia,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-035-01,SRC-035,TBD,DATA_NUMERIC,Public finance,Global,2010,2026,ANNUAL,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-109-01,SRC-109,TBD,DATA_NUMERIC,Political economy,Think tank,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-0250-01,SRC-0250,Map to indicator dictionary during ingestion,DATA_NUMERIC,Donors & Humanitarian,Yemen,2010,2026,IRREGULAR,,Map to indicator dictionary during ingestion,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-0255-01,SRC-0255,Map to indicator dictionary during ingestion,DATA_GEOSPATIAL,Remote Sensing & Geospatial,Global→Yemen,2010,2026,IRREGULAR,,Map to indicator dictionary during ingestion,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-0249-01,SRC-0249,Map to indicator dictionary during ingestion,DATA_NUMERIC,Donors & Humanitarian,Yemen,2010,2026,IRREGULAR,,Map to indicator dictionary during ingestion,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-066-01,SRC-066,TBD,DATA_NUMERIC,Humanitarian aid,Global/EU,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-174-01,SRC-174,TBD,DATA_NUMERIC,Trade & External,Global,2010,2026,MONTHLY,National totals by commodity/partner; no subnational data; gaps filled with mirror data; undercounts informal trade; missing data flagged; fallback offline if needed,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-009-01,SRC-009,TBD,DATA_NUMERIC,Macro & Demographics,National,2010,2026,ANNUAL,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-074-01,SRC-074,TBD,DATA_NUMERIC,Projects & coverage,Global,2010,2026,QUARTERLY,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-0243-01,SRC-0243,Map to indicator dictionary during ingestion,DATA_NUMERIC,Global Development & Finance,Global→Yemen,2010,2026,IRREGULAR,,Map to indicator dictionary during ingestion,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-0292-01,SRC-0292,Map to indicator dictionary during ingestion,DATA_NUMERIC,Global Development & Finance,Global,2010,2026,IRREGULAR,,Map to indicator dictionary during ingestion,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-0244-01,SRC-0244,Map to indicator dictionary during ingestion,DATA_NUMERIC,Global Development & Finance,Global→Yemen,2010,2026,IRREGULAR,,Map to indicator dictionary during ingestion,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-0245-01,SRC-0245,Map to indicator dictionary during ingestion,DATA_NUMERIC,Global Development & Finance,Global→Yemen,2010,2026,IRREGULAR,,Map to indicator dictionary during ingestion,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-007-01,SRC-007,TBD,DATA_NUMERIC,Macro/Socio-economic,Regional,2010,2026,ANNUAL,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-0269-01,SRC-0269,Map to indicator dictionary during ingestion,DATA_NUMERIC,Sectoral (UN & Specialized),Yemen,2010,2026,IRREGULAR,,Map to indicator dictionary during ingestion,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-096-01,SRC-096,TBD,DATA_NUMERIC,Infrastructure projects,UN,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-083-01,SRC-083,TBD,DATA_NUMERIC,Gender & development,Global,2010,2026,ANNUAL,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-060-01,SRC-060,TBD,DATA_NUMERIC,Wages,Global,2010,2026,ANNUAL,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-0291-01,SRC-0291,Map to indicator dictionary during ingestion,DATA_NUMERIC,Global Development & Finance,Global→Yemen,2010,2026,IRREGULAR,,Map to indicator dictionary during ingestion,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-177-01,SRC-177,TBD,DATA_NUMERIC,Development & Humanitarian Projects,Global,2010,2026,DAILY,Project-level; some geocodes; many entries only country-level; not all donors publish; under-coverage flagged; FTS or donor reports used to fill gaps,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-104-01,SRC-104,TBD,DOC_NARRATIVE,Research,NGO,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-0251-01,SRC-0251,Map to indicator dictionary during ingestion,DATA_NUMERIC,Donors & Humanitarian,Global→Yemen (projects),2010,2026,IRREGULAR,,Map to indicator dictionary during ingestion,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-026-01,SRC-026,TBD,DATA_NUMERIC,Private finance,Global,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-055-01,SRC-055,TBD,DATA_NUMERIC,Labor & employment,Global,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-094-01,SRC-094,TBD,DATA_NUMERIC,Infrastructure mapping,Global/Open,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-018-01,SRC-018,TBD,DATA_NUMERIC,Market prices,National NGO,2010,2026,MONTHLY,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-081-01,SRC-081,TBD,DATA_NUMERIC,Education,Global/UN,2010,2026,QUARTERLY,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-013-01,SRC-013,TBD,DATA_NUMERIC,Enterprise survey,Global,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-015-01,SRC-015,TBD,DATA_NUMERIC,Proxy for economic activity,Regional,2010,2026,MONTHLY,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-047-01,SRC-047,TBD,DOC_NARRATIVE,Research,Regional,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-019-01,SRC-019,TBD,DATA_NUMERIC,Food security,Global,2010,2026,MONTHLY,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-029-01,SRC-029,TBD,DATA_NUMERIC,Microfinance & financial inclusion,Global,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-0256-01,SRC-0256,Map to indicator dictionary during ingestion,DATA_GEOSPATIAL,Remote Sensing & Geospatial,Global→Yemen,2010,2026,IRREGULAR,,Map to indicator dictionary during ingestion,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-0273-01,SRC-0273,Map to indicator dictionary during ingestion,DATA_NUMERIC,Sectoral (UN & Specialized),Global→Yemen,2010,2026,IRREGULAR,,Map to indicator dictionary during ingestion,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-0236-01,SRC-0236,Map to indicator dictionary during ingestion,DOC_PDF,Social & Governance Indices,Global→Yemen,2010,2026,IRREGULAR,,Map to indicator dictionary during ingestion,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-041-01,SRC-041,TBD,DATA_NUMERIC,Offshore finance,Global,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-022-01,SRC-022,TBD,DATA_NUMERIC,Health prices & medical costs,Global,2010,2026,ANNUAL,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-119-01,SRC-119,TBD,DATA_NUMERIC,Urbanisation & built environment,Global,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
