REQ_ID,Priority,Description,ImplementationPaths,Tests,Docs,Status
REQ-0072,P0,Show Me How You Know This,client/src/pages/Dashboard.tsx,E2E tests,docs/MOCKUP_MAP.md,In Progress
REQ-0073,P0,Safety Refusals,server/routers.ts,server/yeto.test.ts,docs/DATA_GOVERNANCE.md,Implemented
REQ-0080,P0,HSA Group Profile,client/src/pages/Entities.tsx,server/yeto.test.ts,docs/REQ_INDEX.md,Planned
REQ-0081,P1,Major Commercial Entities,client/src/pages/Entities.tsx,server/yeto.test.ts,docs/REQ_INDEX.md,Planned
REQ-0090,P1,Auto-Draft Publications,server/routers.ts,server/yeto.test.ts,docs/ADMIN_MANUAL.md,Planned
REQ-0091,P1,Approval Workflow,client/src/pages/AdminPortal.tsx,E2E tests,docs/ADMIN_MANUAL.md,In Progress
REQ-0092,P0,Bilingual Output,server/db.ts,server/yeto.test.ts,docs/DATA_GOVERNANCE.md,Implemented
REQ-0100,P1,Subscription Tiers,"client/src/pages/Pricing.tsx, drizzle/schema.ts",E2E tests,docs/SUBSCRIBER_MANUAL.md,Implemented
REQ-0101,P0,RBAC/ABAC,server/routers.ts,server/yeto.test.ts,docs/ADMIN_MANUAL.md,In Progress
REQ-0110,P0,Unit Tests,server/*.test.ts,CI pipeline,docs/WORKPLAN.md,Implemented
REQ-0111,P1,E2E Tests,tests/e2e/*.ts,CI pipeline,docs/WORKPLAN.md,Planned
REQ-0112,P0,Data QA Tests,server/yeto.test.ts,CI pipeline,docs/DATA_GOVERNANCE.md,Implemented
REQ-0120,P0,Docker Compose,docker-compose.yml,CI pipeline,docs/DEPLOYMENT_RUNBOOK.md,Planned
REQ-0121,P1,Bootstrap Scripts,scripts/*.sh,CI pipeline,docs/DEPLOYMENT_RUNBOOK.md,Planned
REQ-0122,P1,Runbooks,docs/*.md,Manual review,docs/MASTER_INDEX.md,In Progress
REQ-0130,P1,Admin Manual,docs/ADMIN_MANUAL.md,Manual review,docs/MASTER_INDEX.md,Planned
REQ-0131,P1,API Reference,docs/API_REFERENCE.md,Manual review,docs/MASTER_INDEX.md,Planned
REQ-0132,P0,Final Self-Audit,docs/FINAL_SELF_AUDIT.md,Manual review,docs/MASTER_INDEX.md,Planned
